name,description,status,price,category_id,author_id,executor_id,city_id,latitude,longitude
"sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque","placerat, orci lacus vestibulum lorem, sit amet ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis natoque penatibus et",new,22819,4,32,32,32,-80.46391,-104.94424
nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula.,"ligula elit, pretium et, rutrum non, hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent",progress,99743,1,33,33,33,-87.27588,150.15947
consequat enim diam vel arcu. Curabitur ut odio vel est,faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque,completed,66706,5,34,34,34,-26.00385,-25.11157
"pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet lectus","nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum",cancelled,88326,3,35,35,35,28.41887,137.40528
"magna tellus faucibus leo, in lobortis tellus justo sit amet","cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor",cancelled,20409,1,36,36,36,41.32384,-155.20205
"penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin",ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec urna suscipit nonummy.,failed,42594,5,37,37,37,-12.64879,118.45041
accumsan neque et nunc. Quisque ornare tortor at risus. Nunc,"sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida",completed,77401,6,38,38,38,-83.51321,-20.97657
"purus ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula","eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit, pretium et, rutrum non, hendrerit id, ante.",new,37767,6,39,39,39,-32.83928,96.75122
"laoreet, libero et tristique pellentesque, tellus sem mollis dui, in","molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu.",cancelled,69844,7,40,40,40,-25.91718,91.66283
"sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque","ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus. Quisque libero lacus, varius et, euismod et, commodo",failed,86705,2,41,41,41,-47.04723,167.2096
fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci,"eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes,",completed,29272,2,42,42,42,14.18151,-157.64286
dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus,"felis orci, adipiscing non, luctus sit amet, faucibus ut, nulla. Cras eu tellus eu augue porttitor interdum. Sed auctor odio",completed,96995,6,43,43,43,6.59857,-79.71185
"amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede,","pretium et, rutrum non, hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum ligula",completed,12146,4,44,44,44,-80.89603,-44.82507
"enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo elementum",enim. Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida.,progress,76463,3,45,45,45,-83.00554,-134.799
cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut,"dis parturient montes, nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu neque",new,95153,2,46,46,46,-36.99553,-62.55611
"dolor dolor, tempus non, lacinia at, iaculis quis, pede. Praesent","non, hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum ligula eu enim. Etiam",progress,63276,1,47,47,47,73.72437,-14.49615
Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque.,"lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis cursus, diam at",cancelled,58420,3,48,48,48,9.23561,137.65832
arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor,"imperdiet non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor, velit",progress,31117,4,49,49,49,-69.23037,124.65686
turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla,"Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam",progress,25505,5,50,50,50,56.04878,86.01385
"sem. Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra,","tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit, pretium et, rutrum",new,87672,7,51,51,51,56.24781,11.51253
"egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus",Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam,completed,2976,7,52,52,52,36.97156,-100.52121
lobortis mauris. Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque.,enim. Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida.,cancelled,70646,1,53,53,53,-10.49001,-161.14497
"ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna.",id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec,new,36615,3,54,54,54,-43.13272,-158.89824
lorem ac risus. Morbi metus. Vivamus euismod urna. Nullam lobortis,"massa non ante bibendum ullamcorper. Duis cursus, diam at pretium aliquet, metus urna convallis erat, eget tincidunt dui augue eu",new,16488,2,55,55,55,-68.19429,-42.82191
Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue,"libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam",new,75103,7,56,56,56,-11.43295,96.04572
vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim.,"tellus sem mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus.",progress,26095,2,57,57,57,32.73105,-34.02362
"sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem","libero. Donec consectetuer mauris id sapien. Cras dolor dolor, tempus non, lacinia at, iaculis quis, pede. Praesent eu dui. Cum",new,37861,5,58,58,58,-9.21469,-14.31684
"egestas hendrerit neque. In ornare sagittis felis. Donec tempor, est",fringilla. Donec feugiat metus sit amet ante. Vivamus non lorem vitae odio sagittis semper. Nam tempor diam dictum sapien. Aenean,completed,58974,6,59,59,59,-37.0246,-90.87643
"at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu et","lobortis risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed",new,56074,5,60,60,60,-79.88137,68.01584
"molestie in, tempus eu, ligula. Aenean euismod mauris eu elit.","velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse",cancelled,61156,2,61,61,61,5.11872,19.04815
turpis nec mauris blandit mattis. Cras eget nisi dictum augue,"Nulla tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed",completed,48501,4,62,62,62,-40.15408,-85.48525
"purus sapien, gravida non, sollicitudin a, malesuada id, erat. Etiam","Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus leo, in",new,3349,4,63,63,63,10.50618,64.84909
risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi non,"Donec luctus aliquet odio. Etiam ligula tortor, dictum eu, placerat eget, venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer",new,90205,2,64,64,64,-5.17303,-16.60254
"ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu","bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci lacus vestibulum lorem,",progress,49530,4,65,65,65,-79.53806,-166.8278
"posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget,","volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a",new,37610,1,66,66,66,27.06581,125.09759
"non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum","conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus.",progress,70543,7,67,67,67,-89.62679,77.25533
et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat,"ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo.",cancelled,81806,7,68,68,68,75.28902,158.15703
Nunc pulvinar arcu et pede. Nunc sed orci lobortis augue,"Nulla tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed",failed,79107,1,69,69,69,-3.03368,130.78007
"ultrices, mauris ipsum porta elit, a feugiat tellus lorem eu","lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy ac, feugiat non, lobortis quis, pede.",new,38784,7,70,70,70,-60.8351,59.35486
Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula,Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu.,completed,40796,8,71,71,71,-61.64589,-127.48877
dapibus ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas ornare egestas,a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non nisi. Aenean,failed,32246,4,72,72,72,-20.12596,87.93228
"convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit","ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum ligula eu enim. Etiam imperdiet dictum magna.",completed,52863,5,73,73,73,5.95195,127.74411
mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin,"In lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor erat neque non quam. Pellentesque habitant",completed,36970,1,74,74,74,-49.71177,-56.55245
semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices,"egestas. Aliquam nec enim. Nunc ut erat. Sed nunc est, mollis non, cursus non, egestas a, dui. Cras pellentesque. Sed",completed,25133,7,75,75,75,1.00415,113.35903
Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus,"Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas mi felis, adipiscing",completed,23296,6,76,76,76,-82.72056,11.07327
pretium neque. Morbi quis urna. Nunc quis arcu vel quam,neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla,cancelled,20228,2,77,77,77,52.1187,-12.66453
"nisi nibh lacinia orci, consectetuer euismod est arcu ac orci.","ullamcorper. Duis cursus, diam at pretium aliquet, metus urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede,",failed,59164,1,78,78,78,-57.23595,172.4416
"pede sagittis augue, eu tempor erat neque non quam. Pellentesque","iaculis quis, pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget",completed,75120,8,79,79,79,10.27837,-5.64844
"venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien.","velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum.",progress,46762,8,80,80,80,-51.8712,-130.88617
ullamcorper magna. Sed eu eros. Nam consequat dolor vitae dolor.,"Duis elementum, dui quis accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim nec",progress,91220,8,81,81,81,-13.84529,-164.30148
"dui, in sodales elit erat vitae risus. Duis a mi","est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius orci, in consequat enim diam",new,26486,4,82,82,82,-26.67471,65.72912
"elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec","eget varius ultrices, mauris ipsum porta elit, a feugiat tellus lorem eu metus. In lorem. Donec elementum, lorem ut aliquam",progress,7588,4,83,83,83,-33.07799,-70.25645
molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras,"vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc",new,22731,6,84,84,84,-10.22022,26.98454
nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis,"elementum, dui quis accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim nec tempus",new,54919,4,85,85,85,22.34914,-98.31695
"est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed",dignissim. Maecenas ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla,progress,84298,7,86,86,86,-13.51785,-173.35522
Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed,"sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam quis",new,10270,2,87,87,87,-68.21865,-123.34359
"litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut",nec urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,completed,47006,4,88,88,88,86.28354,178.59674
tortor at risus. Nunc ac sem ut dolor dapibus gravida.,"laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum nunc id enim. Curabitur",cancelled,99117,1,89,89,89,43.70277,179.1522
"posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget,","semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod",cancelled,82171,4,90,90,90,15.41229,-35.31478
cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut,"Vivamus sit amet risus. Donec egestas. Aliquam nec enim. Nunc ut erat. Sed nunc est, mollis non, cursus non, egestas",new,64775,7,91,91,91,52.31692,-50.72807
"Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus","nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc sed libero. Proin sed turpis nec",cancelled,83187,4,92,92,92,-61.4874,-117.67594
"dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc sed libero.","penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel arcu eu odio tristique pharetra. Quisque ac libero nec",failed,78622,3,93,93,93,27.37381,2.87537
"commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit,","metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi",cancelled,47930,5,94,94,94,-21.66804,-70.89177
"euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur",primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor,failed,10470,4,95,95,95,-77.4037,-11.02633
nisl. Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus.,"felis orci, adipiscing non, luctus sit amet, faucibus ut, nulla. Cras eu tellus eu augue porttitor interdum. Sed auctor odio",progress,78302,6,96,96,96,-24.62428,-102.73749
"enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin","pede et risus. Quisque libero lacus, varius et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus",cancelled,5479,2,97,97,97,37.20665,53.16503
"mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet,","nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus. Quisque libero lacus,",new,80674,6,98,98,98,39.11558,136.22863
risus. Donec egestas. Aliquam nec enim. Nunc ut erat. Sed,"placerat, augue. Sed molestie. Sed id risus quis diam luctus lobortis. Class aptent taciti sociosqu ad litora torquent per conubia",new,41015,1,99,99,99,36.71776,-46.43249
"egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla","sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam",progress,42017,6,100,100,100,-35.59732,-161.87943
