user_id,title,description,rating,task_id
26,Aliquam gravida mauris,"arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida",4,26
27,at risus. Nunc,arcu. Vestibulum ante ipsum primis in faucibus orci luctus et,0,27
28,velit. Quisque varius.,"consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus",4,28
29,non arcu. Vivamus sit,"est. Nunc ullamcorper, velit in aliquet lobortis, nisi nibh lacinia",5,29
30,rutrum,"iaculis, lacus pede sagittis augue, eu tempor erat neque non",1,30
31,"vitae, posuere","auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus",2,31
32,"vitae, aliquet",rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac,2,32
33,velit justo,dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec,5,33
34,"purus. Duis elementum, dui","egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla",4,34
35,"lectus convallis est, vitae",nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula.,5,35
36,posuere cubilia,"a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus",4,36
37,leo.,"commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus",4,37
38,ac,odio sagittis semper. Nam tempor diam dictum sapien. Aenean massa.,5,38
39,"eget,","Sed pharetra, felis eget varius ultrices, mauris ipsum porta elit,",3,39
40,Nulla facilisi. Sed,"magnis dis parturient montes, nascetur ridiculus mus. Proin vel arcu",2,40
41,ante. Maecenas,"diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis eget,",2,41
42,id,"Nam ligula elit, pretium et, rutrum non, hendrerit id, ante.",5,42
43,felis eget,vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt,1,43
44,nisl,"pellentesque eget, dictum placerat, augue. Sed molestie. Sed id risus",2,44
45,vel sapien imperdiet,"scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada",4,45
46,"pharetra ut,","felis. Donec tempor, est ac mattis semper, dui lectus rutrum",2,46
47,"Donec tempor, est","odio vel est tempor bibendum. Donec felis orci, adipiscing non,",4,47
48,Cras dictum ultricies ligula.,enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida.,1,48
49,"ut, molestie",a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque,3,49
50,aliquam,"magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem",1,50
51,arcu eu,"Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna.",2,51
52,Praesent interdum ligula,"malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris",5,52
53,"libero et tristique pellentesque,",nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse,5,53
54,sem. Nulla interdum.,"luctus aliquet odio. Etiam ligula tortor, dictum eu, placerat eget,",1,54
55,aliquet molestie tellus. Aenean,gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat.,0,55
56,Proin,elit erat vitae risus. Duis a mi fringilla mi lacinia,2,56
57,"mauris elit, dictum",arcu. Curabitur ut odio vel est tempor bibendum. Donec felis,5,57
58,tempus mauris,"feugiat non, lobortis quis, pede. Suspendisse dui. Fusce diam nunc,",4,58
59,"risus, at fringilla purus","velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor",0,59
60,Nulla aliquet.,"nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in",5,60
61,"gravida non,","scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada",2,61
62,et arcu imperdiet,"elementum, dui quis accumsan convallis, ante lectus convallis est, vitae",0,62
63,Aenean euismod mauris eu,"arcu iaculis enim, sit amet ornare lectus justo eu arcu.",0,63
64,sit amet lorem,"Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris.",3,64
65,felis eget varius,cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis,1,65
66,ac,Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed,1,66
67,"a, facilisis","facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc",3,67
68,ipsum,ornare lectus justo eu arcu. Morbi sit amet massa. Quisque,0,68
69,dui lectus rutrum,Aenean eget metus. In nec orci. Donec nibh. Quisque nonummy,0,69
70,"lectus convallis est,","iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur",3,70
71,lobortis tellus justo sit,"imperdiet non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem",1,71
72,semper cursus. Integer,congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit,4,72
73,turpis. In,"feugiat tellus lorem eu metus. In lorem. Donec elementum, lorem",2,73
74,dolor dapibus gravida. Aliquam,sodales elit erat vitae risus. Duis a mi fringilla mi,0,74
75,vel,tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque,4,75
76,"mi enim, condimentum eget,",faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt.,1,76
77,"eu,",neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede,3,77
78,"vehicula et, rutrum",In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas,5,78
79,"ac, eleifend vitae, erat.",commodo auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa,3,79
80,aliquet magna a,Praesent interdum ligula eu enim. Etiam imperdiet dictum magna. Ut,0,80
81,Donec tincidunt. Donec vitae,"ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et,",2,81
82,eget,"dapibus gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante",5,82
83,pulvinar arcu et pede.,"dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc sed libero.",3,83
84,magna nec,tincidunt vehicula risus. Nulla eget metus eu erat semper rutrum.,5,84
85,lectus,"mi lorem, vehicula et, rutrum eu, ultrices sit amet, risus.",1,85
86,non dui nec,congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum,2,86
87,"eget, venenatis a, magna.","accumsan convallis, ante lectus convallis est, vitae sodales nisi magna",1,87
88,quis turpis vitae,egestas. Fusce aliquet magna a neque. Nullam ut nisi a,3,88
89,a odio semper cursus.,"vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy",4,89
90,Sed nec metus,ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper,5,90
91,in sodales elit,id risus quis diam luctus lobortis. Class aptent taciti sociosqu,1,91
92,elit. Curabitur,Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra,5,92
93,dis parturient,vulputate ullamcorper magna. Sed eu eros. Nam consequat dolor vitae,1,93
94,euismod enim. Etiam gravida,molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris.,1,94
95,"Mauris vestibulum, neque","Nulla tincidunt, neque vitae semper egestas, urna justo faucibus lectus,",5,95
96,"gravida. Aliquam tincidunt, nunc",egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem,2,96
97,"quis,",consequat enim diam vel arcu. Curabitur ut odio vel est,0,97
98,"malesuada vel,",senectus et netus et malesuada fames ac turpis egestas. Aliquam,1,98
99,scelerisque scelerisque,"Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris.",2,99
100,"vel, venenatis vel,","scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada",4,100
