user_id,price,comment,task_id,status
56,89991,accumsan neque et nunc. Quisque ornare tortor at risus. Nunc,56,Провалено
57,56414,vitae mauris sit amet lorem semper auctor. Mauris vel turpis.,57,В работе
58,29434,sem magna nec quam. Curabitur vel lectus. Cum sociis natoque,58,Отменено
59,3213,"gravida sit amet, dapibus id, blandit at, nisi. Cum sociis",59,В работе
60,29962,eu tempor erat neque non quam. Pellentesque habitant morbi tristique,60,Выполнено
61,0693,dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec,61,Новое
62,54259,ac turpis egestas. Fusce aliquet magna a neque. Nullam ut,62,Провалено
63,29280,"eros nec tellus. Nunc lectus pede, ultrices a, auctor non,",63,Новое
64,86182,Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla,64,Провалено
65,39577,"neque sed dictum eleifend, nunc risus varius orci, in consequat",65,Новое
66,16471,"vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget",66,Отменено
67,74365,"adipiscing lobortis risus. In mi pede, nonummy ut, molestie in,",67,Выполнено
68,58225,sagittis semper. Nam tempor diam dictum sapien. Aenean massa. Integer,68,Отменено
69,83670,tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum ante,69,Отменено
70,82487,"amet, faucibus ut, nulla. Cras eu tellus eu augue porttitor",70,Новое
71,2266,"faucibus ut, nulla. Cras eu tellus eu augue porttitor interdum.",71,Выполнено
72,7723,"ullamcorper. Duis at lacus. Quisque purus sapien, gravida non, sollicitudin",72,Выполнено
73,0443,"nibh lacinia orci, consectetuer euismod est arcu ac orci. Ut",73,Выполнено
74,95921,erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla.,74,Провалено
75,28281,"eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum",75,Выполнено
76,38563,non enim. Mauris quis turpis vitae purus gravida sagittis. Duis,76,Отменено
77,27610,tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris.,77,В работе
78,32237,"dis parturient montes, nascetur ridiculus mus. Proin vel arcu eu",78,В работе
79,87837,"sapien, gravida non, sollicitudin a, malesuada id, erat. Etiam vestibulum",79,Отменено
80,88216,"velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor",80,Новое
81,95253,"non, lacinia at, iaculis quis, pede. Praesent eu dui. Cum",81,Новое
82,49893,"dolor quam, elementum at, egestas a, scelerisque sed, sapien. Nunc",82,Отменено
83,20117,"risus, at fringilla purus mauris a nunc. In at pede.",83,Отменено
84,37351,"et tristique pellentesque, tellus sem mollis dui, in sodales elit",84,В работе
85,50745,"non, lacinia at, iaculis quis, pede. Praesent eu dui. Cum",85,В работе
86,47417,luctus lobortis. Class aptent taciti sociosqu ad litora torquent per,86,Выполнено
87,82501,Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh.,87,Провалено
88,40024,"et magnis dis parturient montes, nascetur ridiculus mus. Proin vel",88,Отменено
89,55096,"vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras",89,Новое
90,76393,Mauris non dui nec urna suscipit nonummy. Fusce fermentum fermentum,90,Провалено
91,83541,"pede sagittis augue, eu tempor erat neque non quam. Pellentesque",91,Выполнено
92,5046,"nec, diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis",92,Новое
93,50169,"Nam ligula elit, pretium et, rutrum non, hendrerit id, ante.",93,Отменено
94,88192,"ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo",94,Выполнено
95,41173,nunc id enim. Curabitur massa. Vestibulum accumsan neque et nunc.,95,Провалено
96,9362,"sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus",96,Новое
97,18201,Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra.,97,В работе
98,54947,"venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien.",98,Отменено
99,96006,"tempus non, lacinia at, iaculis quis, pede. Praesent eu dui.",99,Отменено
100,98175,"magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem",100,Провалено
